Actual,Predicted
2865.57,2974.011999999998
4283.8,4298.672299999998
5067.83,5194.317700000009
4624.3,4698.458100000001
4820.59,4725.7783999999965
5026.23,5008.087699999996
4404.56,4555.614399999998
2394.37,2413.319899999998
3969.09,4043.2908999999963
5136.69,4930.402799999999
5162.33,5164.956699999999
3810.09,3773.990699999997
4400.48,4521.473200000002
4991.64,4846.307000000003
4474.98,4370.023599999997
2668.06,2621.3181000000013
4987.52,4874.481000000008
4039.98,3953.563699999999
3388.29,3245.0200000000004
4068.94,4254.150800000002
4379.87,4320.198299999996
4921.73,4792.1085
5116.9,5051.385699999998
4656.29,4477.474799999999
5508.64,5487.605699999998
4205.35,4198.6116999999995
4275.65,4467.214800000003
4491.97,4594.606300000003
3999.14,4013.882299999999
3758.95,3850.7424999999994
4779.08,4711.523700000001
4603.83,4595.921899999998
6042.56,5827.493299999995
3509.64,3589.5424
3598.87,3627.1747000000037
4003.54,4045.8236000000006
4193.36,4234.690599999997
3908.0,4093.303200000003
2405.34,2636.7390000000028
5611.18,5546.229800000004
4789.37,4868.623499999997
3840.2,3765.701799999998
4897.66,4826.142399999996
4428.85,4351.486399999998
4276.25,4269.1539
3506.64,3353.4682999999986
5172.77,5248.9927
2731.87,2825.5700000000006
3163.44,3042.7931000000017
4149.12,4008.1989999999996
3160.27,3224.4481999999994
4294.59,4154.995999999998
5275.92,5016.890300000002
3072.63,3178.4589000000005
3629.61,3543.0795000000016
5014.79,5191.671000000003
2998.47,2926.992699999999
4983.43,5075.658899999996
4707.07,4601.786500000001
2872.05,2908.0765
2351.97,2599.5312000000017
5161.94,5234.400400000001
3562.43,3617.1685000000034
2725.89,2706.8336000000018
5346.06,5155.829
5446.0,5311.311099999996
4575.58,4413.3728999999985
4046.88,3980.775500000002
3039.52,3179.4809000000005
3844.0,3873.013499999999
4103.39,3930.6476999999977
4721.39,4682.833100000001
5334.33,5087.700100000002
4510.2,4459.7465999999995
4009.8,4045.203400000002
3375.06,3444.7639999999997
4618.77,4308.627400000001
4939.07,4922.134300000005
3112.64,3206.5919
4612.04,4611.8638000000055
3980.9,3861.6642000000006
4374.35,4659.0062000000025
4050.8,4020.775299999996
5900.32,5900.489599999995
3694.52,3932.8041
4652.65,4749.150499999997
5016.11,4985.674400000002
3127.82,3122.8871000000004
5179.49,5020.829000000001
4001.96,4055.334900000003
3451.58,3530.3396000000002
3977.63,4070.089499999999
3830.68,4018.1216000000004
4250.29,4173.531700000001
4137.66,4267.7549000000035
3010.81,3017.0644999999986
4248.49,4341.5704
2843.6,3102.808799999999
3348.39,3437.118400000001
4722.59,4773.9085
